license_code,username,description,license_type,position_id,mount_count,start_time
710027,1107,mat1dasaran,standart,128,12,0
814371,00116,mat1dasaran,standart,128,12,0
771469,00124,mat1dasaran,standart,128,12,0
346253,00125,mat1dasaran,standart,128,12,0
052918,00126,mat1dasaran,standart,128,12,0
215681,00127,mat1dasaran,standart,128,12,0
640865,00129,mat1dasaran,standart,128,12,0
224469,00128,mat1dasaran,standart,128,12,0
810568,00130,mat1dasaran,standart,128,12,0
267871,1121,mat1dasaran,standart,128,12,0
498803,1108,mat1dasaran,standart,128,12,0
200610,1124,mat1dasaran,standart,128,12,0
556098,1110,mat1dasaran,standart,128,12,0
761159,1111,mat1dasaran,standart,128,12,0
063457,1112,mat1dasaran,standart,128,12,0
300545,1113,mat1dasaran,standart,128,12,0
488869,1114,mat1dasaran,standart,128,12,0
524160,1115,mat1dasaran,standart,128,12,0
851051,1116,mat1dasaran,standart,128,12,0
183652,1117,mat1dasaran,standart,128,12,0
891378,1118,mat1dasaran,standart,128,12,0
322254,1119,mat1dasaran,standart,128,12,0
071302,1120,mat1dasaran,standart,128,12,0
453004,1109,mat1dasaran,standart,128,12,0
307635,1122,mat1dasaran,standart,128,12,0
039128,1123,mat1dasaran,standart,128,12,0
674481,(-),mat1dasaran,standart,128,1,0
223772,(-),mat1dasaran,standart,128,1,0
541319,(-),mat1dasaran,standart,128,1,0
932620,(-),mat1dasaran,standart,128,1,0
698290,(-),mat1dasaran,standart,128,1,0
501835,(-),mat1dasaran,standart,128,1,0
106245,(-),mat1dasaran,standart,128,1,0
090290,(-),mat1dasaran,standart,128,1,0
931295,(-),mat1dasaran,standart,128,1,0
280587,(-),mat1dasaran,standart,128,1,0
601418,(-),mat1dasaran,standart,128,1,0
515251,(-),mat1dasaran,standart,128,1,0
633690,(-),mat1dasaran,standart,128,1,0
265383,(-),mat1dasaran,standart,128,1,0
253427,(-),mat1dasaran,standart,128,1,0
397649,(-),mat1dasaran,standart,128,1,0
158027,(-),mat1dasaran,standart,128,1,0
980918,(-),mat1dasaran,standart,128,1,0
371793,(-),mat1dasaran,standart,128,1,0
216412,(-),mat1dasaran,standart,128,1,0
647664,(-),mat1dasaran,standart,128,1,0
411252,(-),mat1dasaran,standart,128,1,0
738083,(-),mat1dasaran,standart,128,1,0
193695,(-),mat1dasaran,standart,128,1,0
782518,(-),mat1dasaran,standart,128,1,0
178790,(-),mat1dasaran,standart,128,1,0
825079,(-),mat1dasaran,standart,128,1,0
920732,(-),mat1dasaran,standart,128,1,0
440474,(-),mat1dasaran,standart,128,1,0
270212,(-),mat1dasaran,standart,128,1,0
764958,(-),mat1dasaran,standart,128,1,0
926939,(-),mat1dasaran,standart,128,1,0
250150,(-),mat1dasaran,standart,128,1,0
221740,(-),mat1dasaran,standart,128,1,0
157405,(-),mat1dasaran,standart,128,1,0
107459,(-),mat1dasaran,standart,128,1,0
600549,(-),mat1dasaran,standart,128,1,0
457549,(-),mat1dasaran,standart,128,1,0
910149,(-),mat1dasaran,standart,128,1,0
326202,(-),mat1dasaran,standart,128,1,0
807932,(-),mat1dasaran,standart,128,1,0
138162,(-),mat1dasaran,standart,128,1,0
495233,(-),mat1dasaran,standart,128,1,0
202826,(-),mat1dasaran,standart,128,1,0
680936,(-),mat1dasaran,standart,128,1,0
879189,(-),mat1dasaran,standart,128,1,0
905726,(-),mat1dasaran,standart,128,1,0
789961,(-),mat1dasaran,standart,128,1,0
645780,(-),mat1dasaran,standart,128,1,0
001856,(-),mat1dasaran,standart,128,1,0
971829,(-),mat1dasaran,standart,128,1,0
477341,(-),mat1dasaran,standart,128,1,0
940119,(-),mat1dasaran,standart,128,1,0
729793,(-),mat1dasaran,standart,128,1,0
560310,(-),mat1dasaran,standart,128,1,0
645621,(-),mat1dasaran,standart,128,1,0
531647,(-),mat1dasaran,standart,128,1,0
625381,(-),mat1dasaran,standart,128,1,0
